,Year,CountyIds, Crop Name, Production, Unit,Price P/I ($), Price P/U,Total Value($)
16,2018,7,ALMONDS ALL ,32300.0,Tons ,0.15,4812.32,155438000.0
17,2018,9,ALMONDS ALL ,50.0,Tons ,87.2,4360.0,218000.0
18,2018,11,ALMONDS ALL ,72500.0,Tons ,0.06,4494.33,325839000.0
19,2018,19,ALMONDS ALL ,240000.0,Tons ,0.02,4626.0,1110240000.0
20,2018,21,ALMONDS ALL ,46700.0,Tons ,0.1,4819.83,225086000.0
21,2018,29,ALMONDS ALL ,256000.0,Tons ,0.02,4689.51,1200514000.0
22,2018,31,ALMONDS ALL ,31900.0,Tons ,0.15,4736.83,151105000.0
23,2018,39,ALMONDS ALL ,146000.0,Tons ,0.03,4839.6,706582000.0
24,2018,47,ALMONDS ALL ,91400.0,Tons ,0.05,4959.61,453308000.0
37,2018,53,ANISE (FENNEL) ,16100.0,Tons ,0.06,902.98,14538000.0
137,2018,29,APPLES ALL ,2460.0,Tons ,0.31,770.73,1896000.0
138,2018,45,APPLES ALL ,413.0,Tons ,2.05,845.04,349000.0
149,2018,13,APRICOTS ALL ,193.0,Tons ,18.34,3538.86,683000.0
150,2018,19,APRICOTS ALL ,7540.0,Tons ,0.29,2220.03,16739000.0
151,2018,29,APRICOTS ALL ,293.0,Tons ,4.73,1385.67,406000.0
152,2018,31,APRICOTS ALL ,2530.0,Tons ,0.69,1750.59,4429000.0
161,2018,53,ARTICHOKES ,27400.0,Tons ,0.07,1940.0,53156000.0
166,2018,19,ASPARAGUS UNSPECIFIED ,1630.0,Tons ,1.84,2992.02,4877000.0
167,2018,53,ASPARAGUS UNSPECIFIED ,5500.0,Tons ,0.48,2620.0,14410000.0
171,2018,53,AVOCADOS ALL ,1160.0,Tons ,1.94,2250.0,2610000.0
180,2018,53,BARLEY FEED ,4300.0,Tons ,0.03,143.02,615000.0
183,2018,29,BARLEY UNSPECIFIED ,950.0,Tons ,0.25,234.74,223000.0
184,2018,47,BARLEY UNSPECIFIED ,2660.0,Tons ,0.07,179.7,478000.0
185,2018,49,BARLEY UNSPECIFIED ,7990.0,Tons ,0.02,177.47,1418000.0
192,2018,7,BEANS DRY EDIBLE UNSPECIFIED ,297.0,Tons ,3.66,1087.54,323000.0
193,2018,11,BEANS DRY EDIBLE UNSPECIFIED ,3380.0,Tons ,0.28,938.76,3173000.0
194,2018,21,BEANS DRY EDIBLE UNSPECIFIED ,895.0,Tons ,1.14,1016.76,910000.0
195,2018,29,BEANS DRY EDIBLE UNSPECIFIED ,1570.0,Tons ,0.52,822.29,1291000.0
196,2018,53,BEANS DRY EDIBLE UNSPECIFIED ,1250.0,Tons ,1.68,2100.0,2625000.0
217,2018,47,BEANS LIMA LARGE DRY ,2250.0,Tons ,0.41,930.22,2093000.0
223,2018,21,BEANS SEED ,1020.0,Tons ,0.9,920.59,939000.0
224,2018,53,BEANS SEED ,596.0,Tons ,5.44,3239.93,1931000.0
234,2018,53,BERRIES BLACKBERRIES ,2450.0,Tons ,2.44,5980.0,14651000.0
239,2018,19,BERRIES BLUEBERRIES ,4670.0,Tons ,1.46,6804.93,31779000.0
240,2018,29,BERRIES BLUEBERRIES ,1190.0,Tons ,5.57,6624.37,7883000.0
252,2018,53,BERRIES RASPBERRIES ,4760.0,Tons ,1.56,7430.04,35367000.0
257,2018,53,BERRIES STRAWBERRIES FRESH MARKET ,499000.0,Tons ,0.0,1380.0,688620000.0
285,2018,53,BROCCOLI FOOD SERVICE ,94900.0,Tons ,0.01,795.01,75446000.0
287,2018,25,BROCCOLI FRESH MARKET ,82100.0,Tons ,0.01,1229.99,100982000.0
288,2018,53,BROCCOLI FRESH MARKET ,285000.0,Tons ,0.0,1100.0,313500000.0
292,2018,19,BROCCOLI UNSPECIFIED ,17400.0,Tons ,0.05,885.0,15399000.0
301,2018,53,BRUSSELS SPROUTS ,43500.0,Tons ,0.04,1800.0,78300000.0
306,2018,53,CABBAGE CHINESE & SPECIALTY ,9190.0,Tons ,0.09,841.68,7735000.0
310,2018,25,CABBAGE HEAD ,35700.0,Tons ,0.02,610.0,21777000.0
311,2018,53,CABBAGE HEAD ,100000.0,Tons ,0.0,379.24,37924000.0
318,2018,53,CARROTS FOOD SERVICE ,37700.0,Tons ,0.01,407.0,15344000.0
320,2018,25,CARROTS FRESH MARKET ,111000.0,Tons ,0.0,125.92,13977000.0
321,2018,53,CARROTS FRESH MARKET ,23000.0,Tons ,0.03,648.0,14904000.0
323,2018,25,CARROTS PROCESSING ,294000.0,Tons ,0.0,160.95,47319000.0
450,2018,53,CAULIFLOWER FOOD SERVICE ,31500.0,Tons ,0.03,848.0,26712000.0
452,2018,25,CAULIFLOWER FRESH MARKET ,37800.0,Tons ,0.03,1052.75,39794000.0
453,2018,53,CAULIFLOWER FRESH MARKET ,179000.0,Tons ,0.01,1020.0,182580000.0
461,2018,53,CELERY FOOD SERVICE ,23800.0,Tons ,0.02,400.0,9520000.0
463,2018,53,CELERY FRESH MARKET ,316000.0,Tons ,0.0,430.0,135880000.0
472,2018,13,CHERRIES SWEET ,823.0,Tons ,6.47,5321.99,4380000.0
473,2018,17,CHERRIES SWEET ,2.0,Tons ,2250.0,4500.0,9000.0
474,2018,19,CHERRIES SWEET ,8900.0,Tons ,0.47,4181.01,37211000.0
475,2018,29,CHERRIES SWEET ,4700.0,Tons ,1.57,7370.21,34640000.0
476,2018,31,CHERRIES SWEET ,3630.0,Tons ,1.9,6890.63,25013000.0
477,2018,39,CHERRIES SWEET ,544.0,Tons ,10.45,5687.5,3094000.0
515,2018,53,CILANTRO ,8890.0,Tons ,0.18,1610.01,14313000.0
523,2018,7,CITRUS UNSPECIFIED ,1200.0,Tons ,1.85,2225.0,2670000.0
524,2018,19,CITRUS UNSPECIFIED ,27800.0,Tons ,0.02,657.99,18292000.0
525,2018,21,CITRUS UNSPECIFIED ,1680.0,Tons ,1.35,2276.19,3824000.0
533,2018,11,CORN GRAIN ,14100.0,Tons ,0.01,145.11,2046000.0
534,2018,21,CORN GRAIN ,73100.0,Tons ,0.0,145.92,10667000.0
535,2018,47,CORN GRAIN ,31300.0,Tons ,0.01,273.9,8573000.0
545,2018,19,CORN SILAGE ,480000.0,Tons ,0.0,49.0,23520000.0
546,2018,21,CORN SILAGE ,32900.0,Tons ,0.0,40.0,1316000.0
547,2018,31,CORN SILAGE ,1250000.0,Tons ,0.0,49.58,61979000.0
548,2018,39,CORN SILAGE ,471000.0,Tons ,0.0,46.98,22126000.0
549,2018,47,CORN SILAGE ,2453000.0,Tons ,0.0,45.36,111276000.0
560,2018,13,CORN SWEET ALL ,31500.0,Tons ,0.02,598.48,18852000.0
561,2018,19,CORN SWEET ALL ,64000.0,Tons ,0.01,438.0,28032000.0
562,2018,25,CORN SWEET ALL ,76700.0,Tons ,0.01,528.55,40540000.0
572,2018,19,COTTON LINT PIMA ,61500.0,Tons ,0.04,2519.51,154950000.0
573,2018,29,COTTON LINT PIMA ,18500.0,Tons ,0.15,2798.11,51765000.0
574,2018,31,COTTON LINT PIMA ,79900.0,Tons ,0.03,2771.94,221478000.0
575,2018,47,COTTON LINT PIMA ,26900.0,Tons ,0.09,2545.87,68484000.0
580,2018,19,COTTON LINT UPLAND ,2850.0,Tons ,0.62,1758.6,5012000.0
581,2018,21,COTTON LINT UPLAND ,1520.0,Tons ,1.05,1594.74,2424000.0
582,2018,25,COTTON LINT UPLAND ,2650.0,Tons ,0.65,1731.7,4589000.0
583,2018,29,COTTON LINT UPLAND ,1230.0,Tons ,1.37,1681.3,2068000.0
584,2018,31,COTTON LINT UPLAND ,8430.0,Tons ,0.2,1716.13,14467000.0
585,2018,39,COTTON LINT UPLAND ,610.0,Tons ,4.0,2440.98,1489000.0
586,2018,47,COTTON LINT UPLAND ,7980.0,Tons ,0.22,1779.95,14204000.0
607,2018,25,DATES ,9320.0,Tons ,0.28,2599.14,24224000.0
610,2018,19,EGGPLANT ALL ,9330.0,Tons ,0.08,784.99,7324000.0
631,2018,53,ENDIVE ALL ,3950.0,Tons ,0.19,742.28,2932000.0
634,2018,53,ESCAROLE ALL ,2110.0,Tons ,0.43,913.27,1927000.0
697,2018,39,FIGS DRIED ,8150.0,Tons ,0.28,2267.12,18477000.0
821,2018,19,GARLIC ALL ,203000.0,Tons ,0.01,2136.0,433608000.0
822,2018,29,GARLIC ALL ,45200.0,Tons ,0.03,1579.47,71392000.0
823,2018,49,GARLIC ALL ,2660.0,Tons ,0.21,560.15,1490000.0
842,2018,25,GRAPEFRUIT ALL ,8360.0,Tons ,0.06,487.08,4072000.0
843,2018,29,GRAPEFRUIT ALL ,11700.0,Tons ,0.08,907.26,10615000.0
850,2018,19,GRAPES RAISIN ,809000.0,Tons ,0.0,452.37,365964000.0
851,2018,29,GRAPES RAISIN ,326000.0,Tons ,0.0,509.5,166096000.0
852,2018,31,GRAPES RAISIN ,24900.0,Tons ,0.02,377.91,9410000.0
853,2018,39,GRAPES RAISIN ,294000.0,Tons ,0.0,448.85,131961000.0
857,2018,19,GRAPES TABLE ,386000.0,Tons ,0.0,1135.88,438449000.0
858,2018,29,GRAPES TABLE ,754000.0,Tons ,0.0,1676.2,1263854000.0
859,2018,31,GRAPES TABLE ,10500.0,Tons ,0.12,1265.14,13284000.0
860,2018,39,GRAPES TABLE ,28300.0,Tons ,0.06,1779.61,50363000.0
868,2018,1,GRAPES WINE ,18100.0,Tons ,0.08,1503.04,27205000.0
869,2018,5,GRAPES WINE ,18200.0,Tons ,0.07,1362.09,24790000.0
870,2018,9,GRAPES WINE ,2280.0,Tons ,0.65,1486.84,3390000.0
871,2018,11,GRAPES WINE ,16200.0,Tons ,0.05,853.46,13826000.0
872,2018,13,GRAPES WINE ,12900.0,Tons ,0.07,897.83,11582000.0
873,2018,17,GRAPES WINE ,6850.0,Tons ,0.24,1630.51,11169000.0
874,2018,19,GRAPES WINE ,769000.0,Tons ,0.0,373.14,286941000.0
875,2018,29,GRAPES WINE ,276000.0,Tons ,0.0,299.0,82523000.0
876,2018,31,GRAPES WINE ,55300.0,Tons ,0.01,293.16,16212000.0
877,2018,33,GRAPES WINE ,46400.0,Tons ,0.04,1755.82,81470000.0
878,2018,39,GRAPES WINE ,388000.0,Tons ,0.0,323.02,125331000.0
879,2018,41,GRAPES WINE ,382.0,Tons ,8.38,3201.57,1223000.0
880,2018,43,GRAPES WINE ,38.0,Tons ,33.24,1263.16,48000.0
881,2018,45,GRAPES WINE ,81900.0,Tons ,0.02,1684.4,137952000.0
882,2018,47,GRAPES WINE ,130000.0,Tons ,0.0,392.85,51070000.0
883,2018,53,GRAPES WINE ,180000.0,Tons ,0.01,1376.43,247758000.0
884,2018,55,GRAPES WINE ,185000.0,Tons ,0.03,5614.05,1038600000.0
885,2018,57,GRAPES WINE ,1880.0,Tons ,0.68,1284.57,2415000.0
912,2018,1,HAY ALFALFA ,446.0,Tons ,0.55,244.39,109000.0
913,2018,5,HAY ALFALFA ,10600.0,Tons ,0.02,199.25,2112000.0
914,2018,7,HAY ALFALFA ,3080.0,Tons ,0.07,214.61,661000.0
915,2018,11,HAY ALFALFA ,47200.0,Tons ,0.0,196.25,9263000.0
916,2018,13,HAY ALFALFA ,8560.0,Tons ,0.02,196.73,1684000.0
917,2018,19,HAY ALFALFA ,235000.0,Tons ,0.0,225.0,52875000.0
918,2018,21,HAY ALFALFA ,64900.0,Tons ,0.0,189.04,12269000.0
919,2018,25,HAY ALFALFA ,1170000.0,Tons ,0.0,186.71,218455000.0
921,2018,29,HAY ALFALFA ,566000.0,Tons ,0.0,203.16,114991000.0
922,2018,31,HAY ALFALFA ,218000.0,Tons ,0.0,212.07,46232000.0
923,2018,35,HAY ALFALFA ,110000.0,Tons ,0.0,187.58,20634000.0
924,2018,39,HAY ALFALFA ,72600.0,Tons ,0.0,214.08,15542000.0
925,2018,47,HAY ALFALFA ,401000.0,Tons ,0.0,211.69,84888000.0
926,2018,49,HAY ALFALFA ,214000.0,Tons ,0.0,189.58,40570000.0
928,2018,53,HAY ALFALFA ,6100.0,Tons ,0.02,110.0,671000.0
948,2018,9,HAY GRAIN ,363.0,Tons ,0.32,115.98,42100.0
949,2018,11,HAY GRAIN ,9910.0,Tons ,0.02,174.97,1734000.0
950,2018,13,HAY GRAIN ,10400.0,Tons ,0.01,93.75,975000.0
951,2018,19,HAY GRAIN ,61700.0,Tons ,0.0,169.0,10427000.0
952,2018,29,HAY GRAIN ,40700.0,Tons ,0.0,145.55,5924000.0
953,2018,31,HAY GRAIN ,12200.0,Tons ,0.01,153.61,1874000.0
954,2018,35,HAY GRAIN ,30400.0,Tons ,0.0,137.34,4175000.0
955,2018,39,HAY GRAIN ,11900.0,Tons ,0.01,166.3,1979000.0
956,2018,47,HAY GRAIN ,147000.0,Tons ,0.0,154.87,22766000.0
957,2018,49,HAY GRAIN ,70800.0,Tons ,0.0,124.94,8846000.0
958,2018,53,HAY GRAIN ,814.0,Tons ,0.14,109.95,89500.0
959,2018,55,HAY GRAIN ,1740.0,Tons ,0.07,116.09,202000.0
983,2018,1,HAY OTHER UNSPECIFIED ,7930.0,Tons ,0.02,137.45,1090000.0
984,2018,3,HAY OTHER UNSPECIFIED ,1500.0,Tons ,0.16,240.0,360000.0
986,2018,15,HAY OTHER UNSPECIFIED ,9860.0,Tons ,0.02,242.09,2387000.0
987,2018,17,HAY OTHER UNSPECIFIED ,200.0,Tons ,0.95,190.0,38000.0
988,2018,19,HAY OTHER UNSPECIFIED ,7970.0,Tons ,0.03,242.03,1929000.0
989,2018,21,HAY OTHER UNSPECIFIED ,2570.0,Tons ,0.05,131.13,337000.0
990,2018,23,HAY OTHER UNSPECIFIED ,28500.0,Tons ,0.01,185.19,5278000.0
991,2018,25,HAY OTHER UNSPECIFIED ,802000.0,Tons ,0.0,170.26,136550000.0
992,2018,29,HAY OTHER UNSPECIFIED ,16000.0,Tons ,0.01,147.81,2365000.0
993,2018,35,HAY OTHER UNSPECIFIED ,142000.0,Tons ,0.0,206.76,29360000.0
994,2018,41,HAY OTHER UNSPECIFIED ,4220.0,Tons ,0.03,139.1,587000.0
1010,2018,25,HAY SUDAN ,343000.0,Tons ,0.0,153.67,52708000.0
1011,2018,31,HAY SUDAN ,8880.0,Tons ,0.02,133.9,1189000.0
1012,2018,47,HAY SUDAN ,42800.0,Tons ,0.0,83.53,3575000.0
1019,2018,49,HAY WILD ,35400.0,Tons ,0.01,259.86,9199000.0
1039,2018,49,HORSERADISH ,833.0,Tons ,0.6,499.4,416000.0
1042,2018,19,JOJOBA ,28.0,Lbs ,122.83,3439.29,96300.0
1044,2018,53,KALE ,26900.0,Tons ,0.07,1790.0,48151000.0
1050,2018,7,KIWIFRUIT ,3140.0,Tons ,0.21,662.1,2079000.0
